Número,Nome,Estrelas,url,PRs Aprovados ou Fechados
313,streamich/react-use,36355,https://github.com/streamich/react-use,1703
314,PhilJay/MPAndroidChart,36334,https://github.com/PhilJay/MPAndroidChart,368
315,poteto/hiring-without-whiteboards,36096,https://github.com/poteto/hiring-without-whiteboards,1313
316,akullpp/awesome-java,36082,https://github.com/akullpp/awesome-java,903
317,go-gitea/gitea,35854,https://github.com/go-gitea/gitea,12993
318,meilisearch/meilisearch,35649,https://github.com/meilisearch/meilisearch,1484
319,Homebrew/brew,35626,https://github.com/Homebrew/brew,10436
320,romkatv/powerlevel10k,35500,https://github.com/romkatv/powerlevel10k,188
321,apache/spark,35457,https://github.com/apache/spark,40480
322,FFmpeg/FFmpeg,35421,https://github.com/FFmpeg/FFmpeg,380
323,nocodb/nocodb,35358,https://github.com/nocodb/nocodb,2025
324,brillout/awesome-react-components,35357,https://github.com/brillout/awesome-react-components,347
325,laurent22/joplin,35335,https://github.com/laurent22/joplin,2775
326,videojs/video.js,35320,https://github.com/videojs/video.js,2973
327,php/php-src,35282,https://github.com/php/php-src,9231
328,RocketChat/Rocket.Chat,35246,https://github.com/RocketChat/Rocket.Chat,12751
329,gorhill/uBlock,35244,https://github.com/gorhill/uBlock,355
330,apachecn/ailearning,35104,https://github.com/apachecn/ailearning,528
331,slatedocs/slate,35090,https://github.com/slatedocs/slate,925
332,evanw/esbuild,35077,https://github.com/evanw/esbuild,323
333,chubin/cheat.sh,35058,https://github.com/chubin/cheat.sh,140
334,floodsung/Deep-Learning-Papers-Reading-Roadmap,35050,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,50
335,iamadamdev/bypass-paywalls-chrome,35032,https://github.com/iamadamdev/bypass-paywalls-chrome,193
336,quilljs/quill,35023,https://github.com/quilljs/quill,495
337,kelseyhightower/kubernetes-the-hard-way,34963,https://github.com/kelseyhightower/kubernetes-the-hard-way,285
338,Asabeneh/30-Days-Of-JavaScript,34930,https://github.com/Asabeneh/30-Days-Of-JavaScript,333
339,serhii-londar/open-source-mac-os-apps,34901,https://github.com/serhii-londar/open-source-mac-os-apps,604
340,nolimits4web/swiper,34783,https://github.com/nolimits4web/swiper,770
341,0voice/interview_internal_reference,34739,https://github.com/0voice/interview_internal_reference,41
342,nodejs/node-v0.x-archive,34569,https://github.com/nodejs/node-v0.x-archive,3761
343,Kong/kong,34554,https://github.com/Kong/kong,5669
344,alvarotrigo/fullPage.js,34489,https://github.com/alvarotrigo/fullPage.js,487
345,lerna/lerna,34455,https://github.com/lerna/lerna,1155
346,google/styleguide,34411,https://github.com/google/styleguide,289
